第一章 概述,第一节 基础医学概述,一､基础医学的概念及研究对象和任务
第一章 概述,第一节 基础医学概述,二､基础医学的起源
第一章 概述,第一节 基础医学概述,三､基础医学及分支学科
第一章 概述,第一节 基础医学概述,四､基础医学的地位及与其他医学的关系
第一章 概述,第一节 基础医学概述,五､基础医学研究的发展趋势
第一章 概述,第一节 基础医学概述,六､基础医学研究面临的挑战
第一章 概述,第二节 生命的起源过程,一､生命起源的化学进化过程
第一章 概述,第二节 生命的起源过程,二､生物进化过程
第一章 概述,第二节 生命的起源过程,三､生物进化论
第一章 概述,第三节 人体结构概况,一､解剖学姿势
第一章 概述,第三节 人体结构概况,二､常用的方位术语
第一章 概述,第三节 人体结构概况,三､轴和面
第一章 概述,第三节 人体结构概况,四､人体结构概况
第一章 概述,第四节 生命的基本特征与机体功能活动的调节,一､生命的基本表现
第一章 概述,第四节 生命的基本特征与机体功能活动的调节,二､人体功能活动的调节方式
第一章 概述,第四节 生命的基本特征与机体功能活动的调节,三､机体活动调节的反馈作用
第二章 细胞概述,第一节 细胞的物质基础,一､生物体的元素组成
第二章 细胞概述,第一节 细胞的物质基础,二､生物小分子
第二章 细胞概述,第一节 细胞的物质基础,三､生物大分子
第二章 细胞概述,第二节 细胞的形态与基本结构,一､生物膜
第二章 细胞概述,第二节 细胞的形态与基本结构,二､细胞的生物电现象
第二章 细胞概述,第二节 细胞的形态与基本结构,三､原核细胞的形态结构
第二章 细胞概述,第二节 细胞的形态与基本结构,四､真核细胞的形态结构
第二章 细胞概述,第三节 细胞的信号转导,一､信息物质
第二章 细胞概述,第三节 细胞的信号转导,二､受体
第二章 细胞概述,第三节 细胞的信号转导,三､信息的传递途径
第二章 细胞概述,第三节 细胞的信号转导,四､信息传递系统的交互联系
第二章 细胞概述,第三节 细胞的信号转导,五､信息传递与疾病
第二章 细胞概述,第四节 细胞的分裂､分化､衰老与死亡,一､细胞分裂
第二章 细胞概述,第四节 细胞的分裂､分化､衰老与死亡,二､细胞的分化
第二章 细胞概述,第四节 细胞的分裂､分化､衰老与死亡,三､细胞的衰老和死亡
第二章 细胞概述,第五节 干细胞,一､干细胞的分类
第二章 细胞概述,第五节 干细胞,二､干细胞生物学特征
第二章 细胞概述,第五节 干细胞,三､胚胎干细胞
第二章 细胞概述,第五节 干细胞,四､成体干细胞
第三章 细胞内生物大分子的结构与功能,第一节 蛋白质分子结构与功能,一､蛋白质的分子组成
第三章 细胞内生物大分子的结构与功能,第一节 蛋白质分子结构与功能,二､蛋白质的分类
第三章 细胞内生物大分子的结构与功能,第一节 蛋白质分子结构与功能,三､蛋白质分子中氨基酸的连接方式
第三章 细胞内生物大分子的结构与功能,第一节 蛋白质分子结构与功能,四､蛋白质的结构与功能
第三章 细胞内生物大分子的结构与功能,第一节 蛋白质分子结构与功能,五､蛋白质的理化性质
第三章 细胞内生物大分子的结构与功能,第二节 酶的结构与功能,一､酶的一般概念
第三章 细胞内生物大分子的结构与功能,第二节 酶的结构与功能,二､酶的特性
第三章 细胞内生物大分子的结构与功能,第二节 酶的结构与功能,三､酶的结构与细胞内的存在形式
第三章 细胞内生物大分子的结构与功能,第二节 酶的结构与功能,四､酶促反应动力学
第三章 细胞内生物大分子的结构与功能,第三节 核酸的结构与功能,一､核酸的基本单位和化学组成
第三章 细胞内生物大分子的结构与功能,第三节 核酸的结构与功能,二､DNA的分子结构和功能
第三章 细胞内生物大分子的结构与功能,第三节 核酸的结构与功能,三､RNA的分子结构和功能
第三章 细胞内生物大分子的结构与功能,第三节 核酸的结构与功能,四､核酸的理化性质
第四章 物质代谢,第一节 糖代谢,一､糖的生理功能
第四章 物质代谢,第一节 糖代谢,二､糖的分解代谢
第四章 物质代谢,第一节 糖代谢,三､糖原的合成和分解
第四章 物质代谢,第一节 糖代谢,四､糖的异生作用
第四章 物质代谢,第一节 糖代谢,五､血糖
第四章 物质代谢,第二节 脂质代谢,一､脂质的生理功能
第四章 物质代谢,第二节 脂质代谢,二､三酰甘油的代谢
第四章 物质代谢,第二节 脂质代谢,三､磷脂的代谢
第四章 物质代谢,第二节 脂质代谢,四､胆固醇的代谢
第四章 物质代谢,第二节 脂质代谢,五､血脂及血浆脂蛋白
第四章 物质代谢,第三节 氨基酸代谢,一､蛋白质的营养作用
第四章 物质代谢,第三节 氨基酸代谢,二､蛋白质的消化､吸收与腐败作用
第四章 物质代谢,第三节 氨基酸代谢,三､氨基酸的一般代谢
第四章 物质代谢,第四节 核苷酸代谢,一､核苷酸的合成代谢
第四章 物质代谢,第四节 核苷酸代谢,二､核苷酸的分解代谢
第五章 基因信息的传递与表达,第一节 DNA的生物合成(复制),一､DNA的复制
第五章 基因信息的传递与表达,第一节 DNA的生物合成(复制),二､DNA的损伤与修复
第五章 基因信息的传递与表达,第二节 RNA的生物合成(转录),一､转录的基本特点及过程
第五章 基因信息的传递与表达,第二节 RNA的生物合成(转录),二､RNA的转录后加工
第五章 基因信息的传递与表达,第二节 RNA的生物合成(转录),三､RNA跨核膜运输
第五章 基因信息的传递与表达,第三节 蛋白质的生物合成(翻译),一､参与蛋白质生物合成的物质
第五章 基因信息的传递与表达,第三节 蛋白质的生物合成(翻译),二､蛋白质生物合成过程
第五章 基因信息的传递与表达,第三节 蛋白质的生物合成(翻译),三､蛋白质合成后的定位､分泌及加工修饰
第五章 基因信息的传递与表达,第三节 蛋白质的生物合成(翻译),四､蛋白质合成的抑制剂
第五章 基因信息的传递与表达,第四节 基因表达调控,一､基因表达调控的现象和意义
第五章 基因信息的传递与表达,第四节 基因表达调控,二､原核基因表达调控
第五章 基因信息的传递与表达,第四节 基因表达调控,三､真核基因表达调控
第五章 基因信息的传递与表达,第五节 基因工程,一､概述
第五章 基因信息的传递与表达,第五节 基因工程,二､重组DNA技术
第五章 基因信息的传递与表达,第五节 基因工程,三､克隆基因的表达
第五章 基因信息的传递与表达,第五节 基因工程,四､基因工程技术的应用
第六章 遗传与变异,第一节 染色体与染色体畸变,一､人类染色体
第六章 遗传与变异,第一节 染色体与染色体畸变,二､人类染色体畸变
第六章 遗传与变异,第二节 基因及基因突变,一､基因的概念
第六章 遗传与变异,第二节 基因及基因突变,二､人类基因组
第六章 遗传与变异,第二节 基因及基因突变,三､基因突变
第六章 遗传与变异,第三节 遗传病与防治,一､遗传性疾病
第六章 遗传与变异,第三节 遗传病与防治,二､遗传病的诊断与治疗
第六章 遗传与变异,第三节 遗传病与防治,三､遗传病的预防与优生
第七章 药物与机体的相互作用,第一节 药物效应动力学,一､药物的基本作用
第七章 药物与机体的相互作用,第一节 药物效应动力学,二､治疗效果
